Unnamed: 0,ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Feature_Category,Year,Month,Day,Hour,Minute,Second,Hour_Category
6712781,A-6761641,Source1,2,2020-11-29 20:48:00,2021-11-29 22:33:00,30.411475,-90.037089,30.415305,-90.04397900000002,0.488,Incident on I-12 WB near LA-59 Left lane blocked.,I-12 W,Mandeville,St. Tammany,LA,70471,US,US/Central,KASD,2020-11-29 20:53:00,54.0,54.0,86.0,29.92,10.0,NW,13.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Junction,2020.0,11.0,29.0,20.0,48.0,0.0,Evening
3767515,A-3795710,Source1,2,2022-09-13 19:03:33,2022-09-13 20:51:16,35.88220300000001,-78.574237,35.880642,-78.57401999999998,0.109,Incident on GRESHAM LAKE RD near HOUSE 3701 Drive with caution., Capital Hills Dr,Raleigh,Wake,NC,27616-0002,US,US/Eastern,KRDU,2022-09-13 18:51:00,80.0,80.0,32.0,29.47,10.0,W,6.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Crossing,2022.0,9.0,13.0,19.0,3.0,33.0,Evening
5708705,A-5751614,Source1,2,2021-07-19 23:26:10,2021-07-20 01:40:39,33.581977,-117.665602,33.581811,-117.665953,0.023,Incident on OSO PKWY near MONTANOSO DR Expect delays.,Montanoso Dr,Mission Viejo,Orange,CA,92691,US,US/Pacific,KSNA,2021-07-19 23:53:00,71.0,71.0,81.0,29.95,10.0,SSW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,Traffic_Signal,2021.0,7.0,19.0,23.0,26.0,10.0,Evening
5807611,A-5851152,Source1,2,2021-06-04 15:56:21,2021-06-04 18:07:14,28.524167,-81.312248,28.524339,-81.310324,0.117,Slow traffic on FL-436 - FL-552 from Dixie Belle Dr to La Costa Dr due to accident., Curry Ford Rd,Orlando,Orange,FL,32822-1405,US,US/Eastern,KORL,2021-06-04 15:53:00,81.0,81.0,85.0,29.92,10.0,NNE,9.0,0.21,T-Storm,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,Station,2021.0,6.0,4.0,15.0,56.0,21.0,Afternoon
7173917,A-7223278,Source1,3,2020-01-15 01:12:53,2020-01-15 01:41:18,41.87534,-87.65185,41.87536,-87.64986999999998,0.102,At Morgan St/Exit 29B - Accident.,S Morgan St,Chicago,Cook,IL,60607,US,US/Central,KMDW,2020-01-15 00:53:00,30.0,30.0,88.0,29.48,8.0,ENE,3.0,0.0,Fair,False,False,True,False,False,False,True,False,True,True,False,False,False,Night,Night,Night,Night,Crossing,2020.0,1.0,15.0,1.0,12.0,53.0,Night
4944151,A-4981626,Source1,2,2022-07-09 00:32:00,2022-07-09 00:53:30,36.162402,-86.778085,36.159011,-86.775868,0.265,Slow traffic on 4th Ave N from Church St to Demonbreun St (4th Ave S) due to accident., Commerce St,Nashville,Davidson,TN,37201-1805,US,US/Central,KBNA,2022-07-09 00:53:00,76.0,76.0,85.0,29.33,10.0,SSW,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Night,Night,Night,Night,Crossing,2022.0,7.0,9.0,0.0,32.0,0.0,Night
4771245,A-4807446,Source1,2,2022-06-01 12:27:39,2022-06-01 15:21:26,25.890733,-80.163416,25.889397,-80.162943,0.097,Slow traffic on FL-922 - US-1 S - FL-5 from NE 124th St to NE 18th Ave due to accident., NE 124th St,Miami,Miami-Dade,FL,33181,US,US/Eastern,KOPF,2022-06-01 12:53:00,87.0,87.0,51.0,29.92,10.0,WNW,5.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Crossing,2022.0,6.0,1.0,12.0,27.0,39.0,Afternoon
5479619,A-5521182,Source1,2,2021-10-22 14:30:13,2021-10-22 14:43:13,41.518571,-73.96999699999998,41.518465,-73.981849,0.613,Slow traffic on I-84 W - NY-52 W from NY-52/Exit 12 (I-84) to US-9W/NY-32/Exit 10 (I-84) due to accident.,I-84 W,Beacon,Dutchess,NY,12508,US,US/Eastern,KSWF,2021-10-22 14:45:00,64.0,64.0,64.0,29.35,10.0,WNW,14.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Junction,2021.0,10.0,22.0,14.0,30.0,13.0,Afternoon
6007306,A-6052038,Source1,2,2021-05-24 05:21:30,2021-05-24 17:08:30,33.781305,-117.879533,33.738655,-117.828439,4.159,Stationary traffic on Santa Ana Fwy S - I-5 S from Chapman Ave (I-5) to Newport Ave (I-5) due to accident.,I-5 S,Orange,Orange,CA,92868,US,US/Pacific,KSNA,2021-05-24 04:53:00,60.0,60.0,67.0,29.92,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day,Junction,2021.0,5.0,24.0,5.0,21.0,30.0,Night
4593707,A-4628556,Source1,2,2022-01-17 16:16:00,2022-01-17 18:26:00,40.06534,-75.317898,40.069827,-75.280249,2.015,Slow traffic on Schuylkill Expy E - I-76 E from PA-320/Gulph Rd/Exit 330 (I-76) to Hollow Rd/Exit 337 (I-76) due to accident.,I-76 E,Conshohocken,Montgomery,PA,19428,US,US/Eastern,KLOM,2022-01-17 16:15:00,35.0,26.0,70.0,28.93,10.0,W,13.0,0.0,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Junction,2022.0,1.0,17.0,16.0,16.0,0.0,Afternoon
5262421,A-5302365,Source1,2,2023-01-28 16:06:56,2023-01-28 17:25:07,39.012478,-94.693267,39.017558,-94.692803,0.352,Incident on I-35 NB near EXIT 228B Drive with caution.,I-35 N,Shawnee,Johnson,KS,66203,US,US/Central,KNKA,2023-01-28 15:54:00,52.0,52.0,54.0,29.05,10.0,WSW,7.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Junction,2023.0,1.0,28.0,16.0,6.0,56.0,Afternoon
6170563,A-6216200,Source1,2,2021-09-20 06:20:58,2021-09-20 10:58:23,40.776551,-74.05836500000002,40.780281,-74.054348,0.333,Slow traffic on I-95 N - New Jersey Tpke N - NJ-495 E from NJ-3 exit [16E] to NJ-3 W due to accident.,New Jersey Tpke N,Secaucus,Hudson,NJ,07094,US,US/Eastern,KTEB,2021-09-20 05:51:00,55.0,55.0,86.0,30.27,10.0,N,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,True,False,False,Night,Day,Day,Day,Traffic_Calming,2021.0,9.0,20.0,6.0,20.0,58.0,Morning
4103832,A-4134710,Source1,2,2022-02-09 18:06:30,2022-02-09 19:04:00,32.77628,-117.068003,32.770761,-117.069903,0.397,Stationary traffic from I-8 (College Ave) to Montezuma Rd (College Ave) due to accident.,College Ave,San Diego,San Diego,CA,92115,US,US/Pacific,KMYF,2022-02-09 17:53:00,72.0,72.0,20.0,29.56,10.0,NNW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Day,Day,Station,2022.0,2.0,9.0,18.0,6.0,30.0,Evening
7710265,A-7759633,Source1,2,2019-07-16 09:33:33,2019-07-16 13:33:33,42.42324,-122.85105,42.42324,-122.85168,0.032,At OR-62/Crater Lake Hwy - Accident.,Lake of the Woods Hwy,White City,Jackson,OR,97503,US,US/Pacific,KMFR,2019-07-16 09:53:00,72.0,72.0,55.0,28.6,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Crossing,2019.0,7.0,16.0,9.0,33.0,33.0,Morning
5518784,A-5560579,Source1,2,2021-08-06 20:18:08,2021-08-06 23:19:13,32.192839,-110.858025,32.192073,-110.858042,0.053,Incident on S WILMOT RD near E 35TH ST Drive with caution., S Wilmot Rd,Tucson,Pima,AZ,85711-6932,US,US/Mountain,KDMA,2021-08-06 19:58:00,83.0,83.0,53.0,27.16,10.0,SE,8.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,Crossing,2021.0,8.0,6.0,20.0,18.0,8.0,Evening
5265099,A-5305059,Source1,2,2022-03-22 19:13:28,2022-03-22 20:39:16,32.183524,-110.847381,32.182896,-110.847388,0.043,Incident on S ELSON AVE near E IRENE ST Expect delays., E Irene St,Tucson,Pima,AZ,85730-2225,US,US/Mountain,KDMA,2022-03-22 18:58:00,69.0,69.0,12.0,27.15,10.0,WNW,13.0,0.0,Fair,False,True,False,False,False,False,False,False,False,False,True,False,False,Night,Night,Day,Day,Bump,2022.0,3.0,22.0,19.0,13.0,28.0,Evening
5835308,A-5879017,Source1,2,2021-11-30 17:36:00,2021-11-30 19:14:35,40.299517,-78.911767,40.299104,-78.912027,0.032,Multi vehicle crash on PA 756 both directions at CENTRAL AV. There is a lane restriction., Ohio St,Johnstown,Cambria,PA,15902-2609,US,US/Eastern,KJST,2021-11-30 17:54:00,38.0,32.0,68.0,27.49,10.0,SW,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,Traffic_Signal,2021.0,11.0,30.0,17.0,36.0,0.0,Afternoon
6931867,A-6981171,Source1,2,2020-05-26 09:12:20,2020-05-26 09:42:20,36.06308,-79.60891,36.06308,-79.60891,0.0,At NC-61 - Accident.,Burlington Rd,Whitsett,Guilford,NC,27377,US,US/Eastern,KBUY,2020-05-26 08:54:00,71.0,71.0,75.0,29.51,10.0,ENE,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Traffic_Signal,2020.0,5.0,26.0,9.0,12.0,20.0,Morning
6973346,A-7022659,Source1,3,2020-05-11 07:04:05,2020-05-11 07:49:05,41.15733,-112.02438,41.15733,-112.02438,0.0,At UT-103/Exit 335 - Accident. Left lane blocked.,I-15 S,Roy,Weber,UT,84067,US,US/Mountain,KOGD,2020-05-11 06:53:00,64.0,64.0,35.0,25.36,10.0,SSE,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Junction,2020.0,5.0,11.0,7.0,4.0,5.0,Morning
6710400,A-6759254,Source1,2,2020-11-15 08:31:00,2020-11-15 10:44:21,35.292012,-119.029603,35.287173,-119.028346,0.342,Incident on CA-99 SB near PANAMA LN Drive with caution.,CA-99 S,Bakersfield,Kern,CA,93307,US,US/Pacific,KBFL,2020-11-15 08:54:00,50.0,50.0,77.0,29.79,4.0,W,8.0,0.0,Haze,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Junction,2020.0,11.0,15.0,8.0,31.0,0.0,Morning
4360778,A-4393764,Source1,4,2023-01-05 18:51:48,2023-01-05 20:58:55,40.8206141,-74.11987424,40.8252641,-74.12848424,0.5529999999999999,NJ DOT - STMC: Crash on NJ 3 both directions ramp to northbound NJ 21 (Clifton) All lanes closed,RT-3,Rutherford,Bergen,NJ,07070,US,US/Eastern,KTEB,2023-01-05 18:51:00,47.0,44.0,86.0,29.95,10.0,ENE,6.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Junction,2023.0,1.0,5.0,18.0,51.0,48.0,Evening
5560870,A-5602924,Source1,2,2021-06-04 09:05:00,2021-06-04 11:15:02,37.573038339435705,-120.93590140285043,37.5516283394357,-120.91139140285044,1.998,Incident on CA-99 SB near FAITH HOME Drive with caution.,CA-99,Ceres,Stanislaus,CA,95307,US,US/Pacific,KMOD,2021-06-04 08:53:00,77.0,77.0,36.0,29.75,10.0,NNW,14.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Junction,2021.0,6.0,4.0,9.0,5.0,0.0,Morning
5902213,A-5946298,Source1,2,2021-06-04 10:57:09,2021-06-04 13:15:10,42.952032,-85.670084,42.951249,-85.670064,0.054,Incident on IONIA AVE near PLEASANT ST Drive with caution., Pleasant St SW,Grand Rapids,Kent,MI,49503,US,US/Eastern,KGRR,2021-06-04 10:53:00,79.0,79.0,39.0,28.93,10.0,W,20.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Crossing,2021.0,6.0,4.0,10.0,57.0,9.0,Morning
4720024,A-4755841,Source1,2,2022-08-23 09:41:00,2022-08-23 10:58:00,45.50553203,-122.67983079,45.50701203,-122.67064079,0.457,Incident on I-405 SB near SW PARK AVE Right lane blocked. Expect delays.,I-405 S,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2022-08-23 09:53:00,68.0,68.0,65.0,30.03,10.0,N,6.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Junction,2022.0,8.0,23.0,9.0,41.0,0.0,Morning
