ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-4481597,Source1,2,05-04-2022 11:08,05-04-2022 12:48,32.476529,-90.15365,32.47513,-90.151473,0.16,Incident on MS-463 EB near MANNSDALE PARK DR Right shoulder closed., Windsor Hills Dr,Madison,Madison,MS,39110,US,US/Central,KHKS,05-04-2022 11:10,66,66,90,29.32,10,W,9,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5024514,Source1,2,31-01-2023 09:17,31-01-2023 10:32,29.114628,-81.619792,29.116846,-81.617765,0.196,Incident on RAILROAD GRADE RD near SR-19 Expect delays., Railroad Grade Rd,Altoona,Lake,FL,32702-9117,US,US/Eastern,KVVG,31-01-2023 08:53,72,72,81,30.13,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5124735,Source1,2,21-08-2022 19:52,21-08-2022 21:07,32.714696,-96.772533,32.713773,-96.767366,0.307,Incident on SPRINGVIEW AVE near BEAUCHAMP ST Drive with caution., Prosperity Ave,Dallas,Dallas,TX,75216-4723,US,US/Central,KRBD,21-08-2022 19:53,79,79,79,29.19,10,ENE,12,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5584337,Source1,2,21-05-2021 02:46,21-05-2021 05:54,37.00283,-78.973848,37.003417,-78.973187,0.055,On US-501 in the County of Halifax in the vicinity of Perth Rd; Rt. 638E/W (Halifax County) motorists can expect delays due to a vehicle crash. All North lanes are closed. All South lanes are closed., L.P. Bailey Memorial Hwy,Nathalie,Halifax,VA,24577,US,US/Eastern,KLYH,21-05-2021 02:54,63,63,75,29.47,10,NNE,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-4458809,Source1,2,22-09-2022 07:18,22-09-2022 08:50,32.645157,-96.789623,32.657854,-96.885959,5.673,Stationary traffic on I-20 W - LBJ Fwy W from TX-342/Lancaster Rd/Exit 470 (I-20) to Cockrell Hill Rd/Exit 463 (I-20) due to accident.,I-20 W,Dallas,Dallas,TX,75241,US,US/Central,KRBD,22-09-2022 06:53,69,69,75,29.27,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6049098,Source1,2,13-11-2021 19:17,13-11-2021 21:46,44.643192,-123.062775,44.628851,-123.062251,0.991,Stationary traffic on Pacific Highway 1 S - I-5 S from Old Salem Rd/Century Dr/Exit 235 (I-5) to US-20/Santiam Hwy/Exit 233 (I-5) due to accident.,I-5 S,Albany,Linn,OR,97322,US,US/Pacific,KCVO,13-11-2021 19:08,61,61,82,29.9,10,S,10,0,Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-4042686,Source1,2,06-01-2023 14:00,06-01-2023 14:34,25.806127,-80.313259,25.802597,-80.313159,0.244,Stationary traffic on FL-969 from FL-948/NW 36th St/Doral Blvd (NW 72nd Ave/Milam Dairy Rd) to NW 25th St (NW 72nd Ave/Milam Dairy Rd) due to accident., NW 72nd Ave,Miami,Miami-Dade,FL,33122-1320,US,US/Eastern,KMIA,06-01-2023 13:53,79,79,32,30.15,10,NNW,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5555922,Source1,2,16-03-2021 20:09,17-03-2021 00:35,33.24835181,-117.2742355,33.25162181,-117.2650355,0.578,Incident on CA-76 near GUAJOME LAKE RD Drive with caution.,Mission Ave,Oceanside,San Diego,CA,92056,US,US/Pacific,KOKB,16-03-2021 19:52,50,50,68,30.05,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
A-6101994,Source1,2,18:00.0,10:00.0,40.696574,-112.031298,40.696576,-112.030503,0.042,Accident on S 7200 W (W 3500 S/UT-171) from UT-172/S 5600 W (W 3500 S/UT-171) to UT-171., W 3500 S,West Valley City,Salt Lake,UT,84128-2607,US,US/Mountain,KU42,11-12-2021 06:54,23,12,72,25.9,10,SE,10,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-6322940,Source1,2,05-03-2021 04:17,05-03-2021 10:38,29.958184,-90.093754,29.960667,-90.091572,0.216,Stationary traffic from LA-3139/Earhart Blvd (S Broad St) to Poydras St/Perdido St (S Broad St) due to accident.,S Broad St,New Orleans,Orleans,LA,70119,US,US/Pacific,KAUD,05-03-2021 03:55,45,45,100,30.02,5,ENE,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
