Unnamed: 0,ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Year,Month,Day,Hour,Minute,Second,Hour_Category
4447897,A-4481597,Source1,2,2022-04-05 11:08:37,2022-04-05 12:48:37,32.476529,-90.15365,32.47513,-90.151473,0.16,Incident on MS-463 EB near MANNSDALE PARK DR Right shoulder closed., Windsor Hills Dr,Madison,Madison,MS,39110,US,US/Central,KHKS,2022-04-05 11:10:00,66.0,66.0,90.0,29.32,10.0,W,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022.0,4.0,5.0,11.0,8.0,37.0,Morning
4986719,A-5024514,Source1,2,2023-01-31 09:17:00,2023-01-31 10:32:08,29.114628000000003,-81.619792,29.116846,-81.617765,0.196,Incident on RAILROAD GRADE RD near SR-19 Expect delays., Railroad Grade Rd,Altoona,Lake,FL,32702-9117,US,US/Eastern,KVVG,2023-01-31 08:53:00,72.0,72.0,81.0,30.13,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2023.0,1.0,31.0,9.0,17.0,0.0,Morning
5086164,A-5124735,Source1,2,2022-08-21 19:52:07,2022-08-21 21:07:07,32.714696,-96.772533,32.713773,-96.767366,0.307,Incident on SPRINGVIEW AVE near BEAUCHAMP ST Drive with caution., Prosperity Ave,Dallas,Dallas,TX,75216-4723,US,US/Central,KRBD,2022-08-21 19:53:00,79.0,79.0,79.0,29.19,10.0,ENE,12.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022.0,8.0,21.0,19.0,52.0,7.0,Evening
5542399,A-5584337,Source1,2,2021-05-21 02:46:30,2021-05-21 05:54:21,37.00283,-78.973848,37.003417,-78.973187,0.055,On US-501 in the County of Halifax in the vicinity of Perth Rd; Rt. 638E/W (Halifax County) motorists can expect delays due to a vehicle crash. All North lanes are closed. All South lanes are closed., L.P. Bailey Memorial Hwy,Nathalie,Halifax,VA,24577,US,US/Eastern,KLYH,2021-05-21 02:54:00,63.0,63.0,75.0,29.47,10.0,NNE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021.0,5.0,21.0,2.0,46.0,30.0,Night
4425288,A-4458809,Source1,2,2022-09-22 07:18:35,2022-09-22 08:50:56,32.645157,-96.789623,32.657854,-96.885959,5.672999999999999,Stationary traffic on I-20 W - LBJ Fwy W from TX-342/Lancaster Rd/Exit 470 (I-20) to Cockrell Hill Rd/Exit 463 (I-20) due to accident.,I-20 W,Dallas,Dallas,TX,75241,US,US/Central,KRBD,2022-09-22 06:53:00,69.0,69.0,75.0,29.27,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022.0,9.0,22.0,7.0,18.0,35.0,Morning
6004384,A-6049098,Source1,2,2021-11-13 19:17:30,2021-11-13 21:46:30,44.643192,-123.062775,44.628851,-123.062251,0.991,Stationary traffic on Pacific Highway 1 S - I-5 S from Old Salem Rd/Century Dr/Exit 235 (I-5) to US-20/Santiam Hwy/Exit 233 (I-5) due to accident.,I-5 S,Albany,Linn,OR,97322,US,US/Pacific,KCVO,2021-11-13 19:08:00,61.0,61.0,82.0,29.9,10.0,S,10.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021.0,11.0,13.0,19.0,17.0,30.0,Evening
4012568,A-4042686,Source1,2,2023-01-06 14:00:04,2023-01-06 14:34:00,25.806127,-80.313259,25.802597,-80.313159,0.244,Stationary traffic on FL-969 from FL-948/NW 36th St/Doral Blvd (NW 72nd Ave/Milam Dairy Rd) to NW 25th St (NW 72nd Ave/Milam Dairy Rd) due to accident., NW 72nd Ave,Miami,Miami-Dade,FL,33122-1320,US,US/Eastern,KMIA,2023-01-06 13:53:00,79.0,79.0,32.0,30.15,10.0,NNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2023.0,1.0,6.0,14.0,0.0,4.0,Afternoon
5514147,A-5555922,Source1,2,2021-03-16 20:09:00,2021-03-17 00:35:07,33.24835181220413,-117.27423548642504,33.25162181220413,-117.26503548642503,0.578,Incident on CA-76 near GUAJOME LAKE RD Drive with caution.,Mission Ave,Oceanside,San Diego,CA,92056,US,US/Pacific,KOKB,2021-03-16 19:52:00,50.0,50.0,68.0,30.05,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2021.0,3.0,16.0,20.0,9.0,0.0,Evening
6276720,A-6322940,Source1,2,2021-03-05 04:17:00,2021-03-05 10:38:54,29.958184000000006,-90.093754,29.960667,-90.091572,0.216,Stationary traffic from LA-3139/Earhart Blvd (S Broad St) to Poydras St/Perdido St (S Broad St) due to accident.,S Broad St,New Orleans,Orleans,LA,70119,US,US/Pacific,KAUD,2021-03-05 03:55:00,45.0,45.0,100.0,30.02,5.0,ENE,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021.0,3.0,5.0,4.0,17.0,0.0,Night
7255329,A-7304692,Source1,2,2019-12-08 12:36:00,2019-12-08 13:29:00,37.143406,-121.98493899999998,37.143406,-121.98493899999998,0.0,At Summit Rd - Accident., Santa Cruz Hwy,Los Gatos,Santa Cruz,CA,95033-9021,US,US/Pacific,KSJC,2019-12-08 12:53:00,59.0,59.0,78.0,29.95,10.0,NW,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019.0,12.0,8.0,12.0,36.0,0.0,Afternoon
