ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-7307599,Source1,3,10-12-2019 10:36,10-12-2019 11:05,39.11533,-108.54475,39.11533,-108.54475,0,At Horizon Drive/Exit 31 - Accident.,I-70 E,Grand Junction,Mesa,CO,81506,US,US/Mountain,KGJT,10-12-2019 10:53,37,32,62,25.35,10,SE,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1992556,Source2,2,29-07-2019 07:34,29-07-2019 09:05,35.115662,-81.06971,,,0,Accident on SC-49 both ways at Forest Oaks Dr.,Charlotte Hwy,Clover,York,SC,29710-8096,US,US/Eastern,KAKH,29-07-2019 07:54,72,72,78,29.27,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5306504,Source1,4,45:00.0,15:00.0,30.23841,-97.738505,30.226146,-97.745818,0.953,Incident on I-35 SB near US-290 Road closed. Take alternate route.,I-35 S,Austin,Travis,TX,78704,US,US/Central,KATT,07-11-2022 22:43,75,75,79,29.48,10,SE,5,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2683723,Source2,2,03-07-2018 13:15,03-07-2018 13:45,40.153828,-75.419403,,,0,Accident on Eagleville Rd at Visitation Rd.,Eagleville Rd,Norristown,Montgomery,PA,19403,US,US/Eastern,KLOM,03-07-2018 13:15,89.6,,66,30.19,10,Calm,,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6573560,Source1,2,47:00.0,05:25.0,38.114959,-77.517769,38.127095,-77.513617,0.868,Incident on I-95 NB near MM 118 Expect delays.,I-95 N,Woodford,Spotsylvania,VA,22580,US,US/Eastern,KEZF,22-02-2021 17:55,41,38,89,29.72,10,SW,6,0.01,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5006548,Source1,2,30:00.0,33:30.0,33.455973,-111.97402,33.459129,-112.002582,1.661,Stationary traffic on AZ-202 Loop W - Red Mountain Fwy W from Van Buren St/Exit 4 (AZ-202 Loop/Red Mountain Fwy) to 40th St/Exit 2 (AZ-202 Loop/Red Mountain Fwy) due to accident.,AZ-202 Loop W,Phoenix,Maricopa,AZ,85008,US,US/Mountain,KPHX,15-11-2022 07:51,49,49,46,28.92,10,SSE,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7015824,Source1,3,08-05-2020 12:44,08-05-2020 12:59,42.37999,-71.14453,42.37999,-71.14453,0,At RT-16/Huron Ave - Accident., Huron Ave,Cambridge,Middlesex,MA,2138,US,US/Eastern,KBOS,08-05-2020 12:54,56,56,26,29.75,10,WSW,14,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2840915,Source2,2,22-05-2018 11:49,22-05-2018 12:19,36.740753,-119.814598,,,0,Right hand shoulder blocked due to accident on CA-99 Southbound at CA-180.,CA-99 S,Fresno,Fresno,CA,93706,US,US/Pacific,KFAT,22-05-2018 11:53,79,,38,29.83,10,Variable,6.9,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5750958,Source1,2,06-10-2021 15:16,06-10-2021 16:34,33.929104,-117.121766,33.935528,-117.12558,0.495,Incident on GILMAN SPRINGS RD NB near EUCALYPTUS ST Drive with caution., Gilman Springs Rd,Moreno Valley,Riverside,CA,92555,US,US/Pacific,KRIV,06-10-2021 14:58,75,75,50,28.34,10,VAR,5,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1273882,Source2,3,10-11-2020 12:07,10-11-2020 14:29,40.558933,-111.898117,,,0,Lane blocked due to accident on I-15 Southbound at Exit 293 10600.,I-15 N,South Jordan,Salt Lake,UT,84095,US,US/Mountain,KU42,10-11-2020 11:54,35,35,52,25.8,10,SSW,3,0,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
