Unnamed: 0,ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Feature_Category,Year,Month,Day,Hour,Minute,Second,Hour_Category,Weekday,Precipitation(in)_positive,Pressure(in)_positive
7054319,1094,0,1,2020-06-21 12:09:44,232,35.25917000000001,-80.77721,35.25917000000001,-80.77721,0.0,250,644,66,135,24,252,0,1,169,232,0.5333333333333333,0.5333333333333333,-0.08275862068965517,5208.542577047507,0.0,0,-1.1428571428571428,0.0,6,0,0,0,0,0,2020,6,21,12,9,44,2,3,1.0,7.4418604651162825
7054319,1094,0,1,2020-06-21 12:09:44,232,35.25917000000001,-80.77721,35.25917000000001,-80.77721,0.0,250,644,66,135,24,252,0,1,169,232,0.5333333333333333,0.5333333333333333,-0.08275862068965517,5208.542577047507,0.0,0,-1.1428571428571428,0.0,6,0,0,0,0,0,2020,6,21,12,9,44,2,3,1.0,7.4418604651162825
7115251,1139,0,1,2020-04-08 17:18:25,148,32.275859999999994,-110.9141,32.275859999999994,-110.9141,0.0,198,129,492,175,2,859,0,2,76,148,0.43333333333333335,0.43333333333333335,-1.0758620689655172,1362.312295008721,0.0,10,1.7142857142857142,0.0,6,0,0,0,0,2,2020,4,8,17,18,25,2,6,1.0,5.713178294573645
6945127,1037,0,1,2020-06-01 17:36:01,210,39.79849,-104.98617,39.79849,-104.98617,0.0,64,986,113,1,4,793,0,2,31,210,0.6,0.6,-1.103448275862069,138.8749814465121,0.0,13,0.2857142857142857,0.0,21,0,0,0,0,4,2020,6,1,17,36,1,2,1,1.0,3.64341085271318
6945341,1038,0,1,2020-06-01 14:19:56,208,45.50867,-122.90208,45.50867,-122.90208,0.0,234,419,31,239,31,1117,0,3,139,208,-0.06666666666666667,-0.06666666666666667,-0.3586206896551724,7154.868188386047,0.0,15,-0.7142857142857143,0.0,25,0,0,0,0,2,2020,6,1,14,19,56,2,1,1.0,7.922480620155043
7054675,1096,0,1,2020-06-21 13:04:16,233,32.11956,-110.96078,32.11956,-110.96078,0.0,129,929,492,175,2,866,0,2,342,233,0.9333333333333333,0.9333333333333333,-1.3241379310344827,1419.5238801820237,0.0,5,-0.2857142857142857,0.0,6,0,0,0,0,2,2020,6,21,13,4,16,2,3,1.0,5.759689922480623
7051256,1091,0,1,2020-06-19 13:54:06,229,33.595859999999995,-112.2203,33.595859999999995,-112.2203,0.0,191,472,367,132,2,847,0,2,123,230,0.9666666666666667,0.9666666666666667,-1.3241379310344827,3649.6158227513865,0.0,12,-0.2857142857142857,0.0,6,0,0,0,0,2,2020,6,19,13,54,6,2,0,1.0,6.9379844961240345
7091952,1119,0,1,2020-03-27 10:22:27,128,45.52492,-122.69233,45.52492,-122.69233,0.0,157,297,384,150,31,1123,0,3,254,128,-0.7666666666666667,-0.8666666666666667,0.6068965517241379,7628.69200469209,0.0,10,-0.2857142857142857,0.0,16,0,0,0,0,2,2020,3,27,10,22,27,1,0,1.0,8.023255813953492
6654177,928,0,1,2020-08-03 16:35:59,247,42.89862,-85.66534,42.89862,-85.66534,0.0,219,9,184,114,19,613,0,1,130,247,0.23333333333333334,0.23333333333333334,0.2206896551724138,4385.537762551197,0.0,5,0.8571428571428571,0.0,21,0,0,0,0,10,2020,8,3,16,35,59,2,1,1.0,7.193798449612406
7149852,1162,0,1,2020-04-26 03:27:04,170,37.70381,-122.06067,37.6916,-122.06253999999998,0.85,161,55,61,4,3,1037,0,3,150,170,-0.43333333333333335,-0.43333333333333335,0.7724137931034483,7298.06868634849,0.0,0,-1.1428571428571428,0.0,6,1,1,1,1,2,2020,4,26,3,27,4,0,3,1.0,7.953488372093027
7154063,1166,0,1,2020-04-28 19:48:39,175,32.39614,-110.95929,32.39614,-110.95929,0.0,188,640,492,175,2,861,0,2,76,175,0.7,0.7,-1.3517241379310345,1429.2438462206337,-1.0,8,0.0,0.0,6,1,1,0,0,2,2020,4,28,19,48,39,3,5,1.0,5.7674418604651185
7090128,1118,0,1,2020-03-26 20:55:35,127,37.6369,-121.88438,37.63685,-121.88438,0.003,173,784,379,4,3,1042,0,3,186,127,-0.7333333333333333,-0.8666666666666667,0.27586206896551724,6119.80519069181,0.0,16,-0.14285714285714285,0.0,6,1,1,1,1,4,2020,3,26,20,55,35,3,4,1.0,7.682170542635664
7129567,1148,0,1,2020-04-15 13:37:02,157,32.25056,-110.91407,32.25056,-110.91407,0.0,194,114,492,175,2,856,0,2,76,157,0.16666666666666666,0.16666666666666666,-1.3241379310344827,1468.6594880583475,0.0,13,-0.2857142857142857,0.0,6,0,0,0,0,2,2020,4,15,13,37,2,2,6,1.0,5.798449612403105
7149852,1162,0,1,2020-04-26 03:27:04,170,37.70381,-122.06067,37.6916,-122.06253999999998,0.85,161,55,61,4,3,1037,0,3,150,170,-0.43333333333333335,-0.43333333333333335,0.7724137931034483,7298.06868634849,0.0,0,-1.1428571428571428,0.0,6,1,1,1,1,2,2020,4,26,3,27,4,0,3,1.0,7.953488372093027
7054675,1096,0,1,2020-06-21 13:04:16,233,32.11956,-110.96078,32.11956,-110.96078,0.0,129,929,492,175,2,866,0,2,342,233,0.9333333333333333,0.9333333333333333,-1.3241379310344827,1419.5238801820237,0.0,5,-0.2857142857142857,0.0,6,0,0,0,0,2,2020,6,21,13,4,16,2,3,1.0,5.759689922480623
7054319,1094,0,1,2020-06-21 12:09:44,232,35.25917000000001,-80.77721,35.25917000000001,-80.77721,0.0,250,644,66,135,24,252,0,1,169,232,0.5333333333333333,0.5333333333333333,-0.08275862068965517,5208.542577047507,0.0,0,-1.1428571428571428,0.0,6,0,0,0,0,0,2020,6,21,12,9,44,2,3,1.0,7.4418604651162825
7091952,1119,0,1,2020-03-27 10:22:27,128,45.52492,-122.69233,45.52492,-122.69233,0.0,157,297,384,150,31,1123,0,3,254,128,-0.7666666666666667,-0.8666666666666667,0.6068965517241379,7628.69200469209,0.0,10,-0.2857142857142857,0.0,16,0,0,0,0,2,2020,3,27,10,22,27,1,0,1.0,8.023255813953492
7154063,1166,0,1,2020-04-28 19:48:39,175,32.39614,-110.95929,32.39614,-110.95929,0.0,188,640,492,175,2,861,0,2,76,175,0.7,0.7,-1.3517241379310345,1429.2438462206337,-1.0,8,0.0,0.0,6,1,1,0,0,2,2020,4,28,19,48,39,3,5,1.0,5.7674418604651185
6977774,1057,0,1,2020-05-13 14:03:55,189,32.33748,-111.0468,32.33748,-111.0468,0.0,196,870,492,175,2,862,0,2,76,189,0.6,0.6,-1.2689655172413794,1371.7167204993318,-2.0,16,0.7142857142857143,0.0,6,0,0,0,0,2,2020,5,13,14,3,55,2,6,1.0,5.720930232558143
7054675,1096,0,1,2020-06-21 13:04:16,233,32.11956,-110.96078,32.11956,-110.96078,0.0,129,929,492,175,2,866,0,2,342,233,0.9333333333333333,0.9333333333333333,-1.3241379310344827,1419.5238801820237,0.0,5,-0.2857142857142857,0.0,6,0,0,0,0,2,2020,6,21,13,4,16,2,3,1.0,5.759689922480623
7133252,1151,0,1,2020-04-17 07:26:30,159,33.40747,-81.98366999999998,33.40747,-81.98366999999998,0.0,176,560,20,189,9,304,0,1,9,159,-0.7666666666666667,-0.7666666666666667,0.9655172413793104,7894.067631401025,-4.0,0,-1.1428571428571428,0.0,6,0,0,0,0,4,2020,4,17,7,26,30,1,0,1.0,8.077519379844965
7054319,1094,0,1,2020-06-21 12:09:44,232,35.25917000000001,-80.77721,35.25917000000001,-80.77721,0.0,250,644,66,135,24,252,0,1,169,232,0.5333333333333333,0.5333333333333333,-0.08275862068965517,5208.542577047507,0.0,0,-1.1428571428571428,0.0,6,0,0,0,0,0,2020,6,21,12,9,44,2,3,1.0,7.4418604651162825
6994003,1064,0,1,2020-05-21 05:24:39,196,29.95923,-90.08497,29.95923,-90.08497,0.0,256,448,325,167,16,685,0,3,18,196,0.16666666666666666,0.16666666666666666,1.1586206896551725,7084.118889684592,-7.0,0,-1.1428571428571428,0.0,21,1,1,0,0,7,2020,5,21,5,24,39,0,4,1.0,7.906976744186051
7115251,1139,0,1,2020-04-08 17:18:25,148,32.275859999999994,-110.9141,32.275859999999994,-110.9141,0.0,198,129,492,175,2,859,0,2,76,148,0.43333333333333335,0.43333333333333335,-1.0758620689655172,1362.312295008721,0.0,10,1.7142857142857142,0.0,6,0,0,0,0,2,2020,4,8,17,18,25,2,6,1.0,5.713178294573645
6654177,928,0,1,2020-08-03 16:35:59,247,42.89862,-85.66534,42.89862,-85.66534,0.0,219,9,184,114,19,613,0,1,130,247,0.23333333333333334,0.23333333333333334,0.2206896551724138,4385.537762551197,0.0,5,0.8571428571428571,0.0,21,0,0,0,0,10,2020,8,3,16,35,59,2,1,1.0,7.193798449612406
7054675,1096,0,1,2020-06-21 13:04:16,233,32.11956,-110.96078,32.11956,-110.96078,0.0,129,929,492,175,2,866,0,2,342,233,0.9333333333333333,0.9333333333333333,-1.3241379310344827,1419.5238801820237,0.0,5,-0.2857142857142857,0.0,6,0,0,0,0,2,2020,6,21,13,4,16,2,3,1.0,5.759689922480623
7156151,1167,0,1,2020-04-29 01:35:56,176,33.63808,-112.23335,33.63808,-112.23335,0.0,190,861,180,132,2,844,0,2,84,176,0.13333333333333333,0.13333333333333333,-0.8275862068965517,2963.4100761002314,0.0,0,-1.1428571428571428,0.0,6,1,1,1,1,2,2020,4,29,1,35,56,0,6,1.0,6.658914728682174
7054319,1094,0,1,2020-06-21 12:09:44,232,35.25917000000001,-80.77721,35.25917000000001,-80.77721,0.0,250,644,66,135,24,252,0,1,169,232,0.5333333333333333,0.5333333333333333,-0.08275862068965517,5208.542577047507,0.0,0,-1.1428571428571428,0.0,6,0,0,0,0,0,2020,6,21,12,9,44,2,3,1.0,7.4418604651162825
7117284,1142,0,1,2020-04-09 09:06:16,149,39.71134,-105.0533,39.71134,-105.0533,0.0,99,932,113,112,4,797,0,2,31,149,-0.9,-1.1333333333333333,0.19310344827586207,151.30716103740494,0.0,5,0.7142857142857143,0.0,25,0,0,0,0,2,2020,4,9,9,6,16,1,4,1.0,3.7054263565891477
7149852,1162,0,1,2020-04-26 03:27:04,170,37.70381,-122.06067,37.6916,-122.06253999999998,0.85,161,55,61,4,3,1037,0,3,150,170,-0.43333333333333335,-0.43333333333333335,0.7724137931034483,7298.06868634849,0.0,0,-1.1428571428571428,0.0,6,1,1,1,1,2,2020,4,26,3,27,4,0,3,1.0,7.953488372093027
7148591,1160,0,1,2020-04-25 16:53:36,169,33.41467,-111.89196,33.41467,-111.89196,0.0,225,100,482,132,2,840,0,2,257,169,0.9666666666666667,0.9666666666666667,-1.3517241379310345,3649.6158227513865,0.0,17,-0.14285714285714285,0.0,25,0,0,0,0,2,2020,4,25,16,53,36,2,2,1.0,6.9379844961240345
7126776,1145,0,1,2020-04-14 15:15:15,155,27.99682,-82.58187,27.99682,-82.58187,0.0,103,856,479,99,8,507,0,1,337,155,0.6666666666666666,0.6666666666666666,0.08275862068965517,7334.225864849329,0.0,13,0.14285714285714285,0.0,21,0,0,0,0,2,2020,4,14,15,15,15,2,5,1.0,7.961240310077525
6994003,1064,0,1,2020-05-21 05:24:39,196,29.95923,-90.08497,29.95923,-90.08497,0.0,256,448,325,167,16,685,0,3,18,196,0.16666666666666666,0.16666666666666666,1.1586206896551725,7084.118889684592,-7.0,0,-1.1428571428571428,0.0,21,1,1,0,0,7,2020,5,21,5,24,39,0,4,1.0,7.906976744186051
6945127,1037,0,1,2020-06-01 17:36:01,210,39.79849,-104.98617,39.79849,-104.98617,0.0,64,986,113,1,4,793,0,2,31,210,0.6,0.6,-1.103448275862069,138.8749814465121,0.0,13,0.2857142857142857,0.0,21,0,0,0,0,4,2020,6,1,17,36,1,2,1,1.0,3.64341085271318
7071551,1103,0,1,2020-03-18 18:10:56,112,33.38519,-111.90908,33.38519,-111.90908,0.0,254,373,482,132,2,842,0,2,257,112,-0.36666666666666664,-0.36666666666666664,0.30344827586206896,3349.714464200474,0.0,10,0.7142857142857143,0.0,16,0,0,0,0,2,2020,3,18,18,10,56,3,6,1.0,6.821705426356594
7054319,1094,0,1,2020-06-21 12:09:44,232,35.25917000000001,-80.77721,35.25917000000001,-80.77721,0.0,250,644,66,135,24,252,0,1,169,232,0.5333333333333333,0.5333333333333333,-0.08275862068965517,5208.542577047507,0.0,0,-1.1428571428571428,0.0,6,0,0,0,0,0,2020,6,21,12,9,44,2,3,1.0,7.4418604651162825
7071551,1103,0,1,2020-03-18 18:10:56,112,33.38519,-111.90908,33.38519,-111.90908,0.0,254,373,482,132,2,842,0,2,257,112,-0.36666666666666664,-0.36666666666666664,0.30344827586206896,3349.714464200474,0.0,10,0.7142857142857143,0.0,16,0,0,0,0,2,2020,3,18,18,10,56,3,6,1.0,6.821705426356594
7156151,1167,0,1,2020-04-29 01:35:56,176,33.63808,-112.23335,33.63808,-112.23335,0.0,190,861,180,132,2,844,0,2,84,176,0.13333333333333333,0.13333333333333333,-0.8275862068965517,2963.4100761002314,0.0,0,-1.1428571428571428,0.0,6,1,1,1,1,2,2020,4,29,1,35,56,0,6,1.0,6.658914728682174
7117284,1142,0,1,2020-04-09 09:06:16,149,39.71134,-105.0533,39.71134,-105.0533,0.0,99,932,113,112,4,797,0,2,31,149,-0.9,-1.1333333333333333,0.19310344827586207,151.30716103740494,0.0,5,0.7142857142857143,0.0,25,0,0,0,0,2,2020,4,9,9,6,16,1,4,1.0,3.7054263565891477
7156151,1167,0,1,2020-04-29 01:35:56,176,33.63808,-112.23335,33.63808,-112.23335,0.0,190,861,180,132,2,844,0,2,84,176,0.13333333333333333,0.13333333333333333,-0.8275862068965517,2963.4100761002314,0.0,0,-1.1428571428571428,0.0,6,1,1,1,1,2,2020,4,29,1,35,56,0,6,1.0,6.658914728682174
